ID,Year_Birth,Education,Marital_Status,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Income,Age,Total_Spending,Total_Purchases,Total_Campaign_Responses,Customer_Segment,Income_Clean,Campaign_Engagement,Age_Group,Preferred_Channel,Total_Children,Household_Segment,Deal_Purchase_Ratio,Deal_Purchase_Rate,Web_Purchase_Visit_Ratio,Recency_Segment,Response_Status
1826,1970,Graduation,Divorced,0,0,2014-06-16,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0,Spain,84835.0,44.0,1190,14,0,High Value,84835.0,No Response,35-44,Store,0,No Children,0.07142857142857142,7.142857142857142,4.0,0-30 Days,Responder
1,1961,Graduation,Single,0,0,2014-06-15,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,1,0,Canada,57091.0,53.0,577,17,1,Medium Value,57091.0,Low Engagement,45-54,Web,0,No Children,0.058823529411764705,5.88235294117647,1.4,0-30 Days,Responder
10476,1958,Graduation,Married,0,1,2014-05-13,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,0,USA,67267.0,56.0,251,10,0,Medium Value,67267.0,No Response,55-64,Store,1,One Child,0.1,10.0,1.5,0-30 Days,Non-Responder
1386,1967,Graduation,Together,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,Australia,32474.0,47.0,11,3,0,Low Value,32474.0,No Response,45-54,Store,2,Two or More Children,0.3333333333333333,33.33333333333333,0.14285714285714285,0-30 Days,Non-Responder
5371,1989,Graduation,Single,1,0,2014-04-08,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,1,0,Spain,21474.0,25.0,91,6,1,Low Value,21474.0,Low Engagement,25-34,Web,1,One Child,0.3333333333333333,33.33333333333333,0.42857142857142855,0-30 Days,Responder
7348,1958,PhD,Single,0,0,2014-03-17,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,0,Spain,71691.0,56.0,1192,16,0,High Value,71691.0,No Response,55-64,Catalog,0,No Children,0.0625,6.25,2.0,0-30 Days,Responder
4073,1954,2n Cycle,Married,0,0,2014-01-29,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,1,0,Germany,63564.0,60.0,1215,27,1,High Value,63564.0,Low Engagement,55-64,Web,0,No Children,0.037037037037037035,3.7037037037037033,1.6666666666666667,0-30 Days,Responder
1991,1967,Graduation,Together,0,1,2014-01-18,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,Spain,44931.0,47.0,96,6,0,Low Value,44931.0,No Response,45-54,Store,1,One Child,0.16666666666666666,16.666666666666664,0.4,0-30 Days,Non-Responder
4047,1954,PhD,Married,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,USA,65324.0,60.0,544,17,0,Medium Value,65324.0,No Response,55-64,Store,1,One Child,0.17647058823529413,17.647058823529413,1.5,0-30 Days,Non-Responder
9477,1954,PhD,Married,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,India,65324.0,60.0,544,17,0,Medium Value,65324.0,No Response,55-64,Store,1,One Child,0.17647058823529413,17.647058823529413,1.5,0-30 Days,Non-Responder
2079,1947,2n Cycle,Married,0,0,2013-12-27,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,0,USA,81044.0,67.0,1208,21,0,High Value,81044.0,No Response,65+,Store,0,No Children,0.047619047619047616,4.761904761904762,5.0,0-30 Days,Non-Responder
5642,1979,Master,Together,1,0,2013-12-09,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,Spain,62499.0,35.0,222,10,0,Medium Value,62499.0,No Response,35-44,Store,1,One Child,0.2,20.0,0.75,0-30 Days,Non-Responder
10530,1959,PhD,Widow,0,0,2013-12-07,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0,India,67786.0,55.0,1156,15,0,High Value,67786.0,No Response,55-64,Catalog,0,No Children,0.06666666666666667,6.666666666666667,3.0,0-30 Days,Responder
2964,1981,Graduation,Married,0,0,2013-10-16,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,0,Canada,26872.0,33.0,72,4,0,Low Value,26872.0,No Response,25-34,Store,0,No Children,0.25,25.0,0.16666666666666666,0-30 Days,Non-Responder
10311,1969,Graduation,Married,0,1,2013-10-05,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0,Spain,4428.0,45.0,359,25,0,Medium Value,4428.0,No Response,45-54,Web,1,One Child,0.0,0.0,25.0,0-30 Days,Non-Responder
837,1977,Graduation,Married,1,1,2013-09-11,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,Spain,54809.0,37.0,174,8,0,Medium Value,54809.0,No Response,35-44,Store,2,Two or More Children,0.5,50.0,0.5,0-30 Days,Non-Responder
10521,1977,Graduation,Married,1,1,2013-09-11,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0,Spain,54809.0,37.0,174,8,0,Medium Value,54809.0,No Response,35-44,Store,2,Two or More Children,0.5,50.0,0.5,0-30 Days,Responder
10175,1958,PhD,Divorced,0,1,2013-08-01,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,Spain,32173.0,56.0,22,4,0,Low Value,32173.0,No Response,55-64,Store,1,One Child,0.25,25.0,0.25,0-30 Days,Non-Responder
1473,1960,2n Cycle,Single,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,Canada,47823.0,54.0,72,5,0,Low Value,47823.0,No Response,45-54,Store,1,One Child,0.4,40.0,0.25,0-30 Days,Non-Responder
2795,1958,Master,Single,2,1,2013-07-01,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,Canada,30523.0,56.0,13,3,0,Low Value,30523.0,No Response,55-64,Store,3,Two or More Children,0.3333333333333333,33.33333333333333,0.14285714285714285,0-30 Days,Non-Responder
2285,1954,Master,Together,0,1,2013-05-28,0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,0,Saudi Arabia,36634.0,60.0,335,12,0,Medium Value,36634.0,No Response,55-64,Web,1,One Child,0.25,25.0,0.7142857142857143,0-30 Days,Non-Responder
115,1966,Master,Single,0,1,2013-03-26,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,India,43456.0,48.0,393,14,0,Medium Value,43456.0,No Response,45-54,Store,1,One Child,0.21428571428571427,21.428571428571427,1.0,0-30 Days,Non-Responder
10470,1979,Master,Married,1,0,2013-03-15,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,Germany,40662.0,35.0,92,6,0,Low Value,40662.0,No Response,35-44,Store,1,One Child,0.3333333333333333,33.33333333333333,0.5,0-30 Days,Non-Responder
